date space
2019-03-1 4,911,563
2019-04-1 3,900,806
2019-05-1 3,126,135
2019-06-1 3,197,949
2019-07-1 3,190,741
2019-08-1 3,157,155
2019-09-1 3,785,213
2019-10-1 4,597,541
2019-11-1 3,478,660
2019-12-1 4,749,904
2020-01-1 2,732,217
2020-02-1 3,741,499
2020-03-1 3,701,165
2020-04-1 3,550,142
2020-05-1 3,472,225
2020-06-1 3,511,037
2020-07-1 4,768,495
2020-08-1 3,299,859
2020-09-1 4,147,499
2020-10-1 4,504,672
2020-11-1 3,507,700
2020-12-1 5,125,668
